Ultralytics YOLOv8.2.5 🚀 Python-3.10.12 torch-2.3.0+cu121 CUDA:0 (NVIDIA GeForce RTX 4090, 24217MiB)
video 1/1 (frame 219/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.5ms
video 1/1 (frame 220/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 221/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 222/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 223/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.5ms
video 1/1 (frame 224/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.4ms
video 1/1 (frame 225/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.4ms
video 1/1 (frame 226/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 227/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 228/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 229/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 230/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.6ms
video 1/1 (frame 231/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 14 persons, 30.5ms
video 1/1 (frame 232/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.4ms
video 1/1 (frame 233/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.4ms
video 1/1 (frame 234/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 235/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 236/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.6ms
video 1/1 (frame 237/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.5ms
video 1/1 (frame 238/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.5ms
video 1/1 (frame 239/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.5ms
video 1/1 (frame 240/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.5ms
video 1/1 (frame 241/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.5ms
video 1/1 (frame 242/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.6ms
video 1/1 (frame 243/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.4ms
video 1/1 (frame 244/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.4ms
